year,site_id,rain,pot_evap,act_evap,grow_days,deg_days,dry_days_upper,dry_days_base,flood_days
0,0,0.3761498630136987,0.4657286025397716,0.03957873952607288,300,3562.5,53.91479308294888,74.04761904761904,22.315835660872693
1,0,0.3808920547945206,0.4657286025397716,0.03483654774525097,300,3562.5,53.81786001438436,74.04761904761904,23.369656056610907
2,0,0.3780449315068493,0.4657286025397716,0.03768367103292225,300,3562.5,53.72069386466533,74.04761904761904,22.73696199268396
3,0,0.3785041594022416,0.4657286025397716,0.03722444313752998,300,3562.5,53.62329397412585,74.04761904761904,22.83901263610447
4,0,0.3788183561643836,0.4657286025397716,0.03691024637538798,300,3562.5,53.52565968086381,74.04761904761904,22.908834138802675
5,0,0.3729783561643836,0.4657286025397716,0.04275024637538799,300,3562.5,53.427790320731766,74.04761904761904,21.611056361024893
6,0,0.37862361145703616,0.4657286025397716,0.037104991082735406,300,3562.5,53.3296852273279,74.04761904761904,22.865557537169934
7,0,0.37477561643835616,0.4657286025397716,0.0409529861014154,300,3562.5,53.23134373198677,74.04761904761904,22.010447533018805
8,0,0.37890169364881693,0.4657286025397716,0.036826908890954635,300,3562.5,53.13276516377014,74.04761904761904,22.927353579787862
9,0,0.37559018679950196,0.4657286025397716,0.040138415740269606,300,3562.5,53.033948849457694,74.04761904761904,22.19146316882899
10,0,0.3781238356164384,0.4657286025397716,0.037604766923333144,300,3562.5,52.934894113537744,74.04761904761904,22.754496239259325
11,0,0.38124602739726027,0.4657286025397716,0.034482575142511296,300,3562.5,52.835600278197845,74.04761904761904,23.448316634997497
12,0,0.37464114570361146,0.4657286025397716,0.04108745683616011,300,3562.5,52.73606666331544,74.04761904761904,21.980565147519982
13,0,0.3810882191780823,0.4657286025397716,0.034640383361689286,300,3562.5,52.63629258644839,74.04761904761904,23.41324814184682
14,0,0.37608635118306355,0.4657286025397716,0.039642251356708014,300,3562.5,52.53627736282549,74.04761904761904,22.301721920731566
15,0,0.3795419178082192,0.4657286025397716,0.03618668473155234,300,3562.5,52.43602030533695,74.04761904761904,23.069625615210597
16,0,0.3799649315068493,0.4657286025397716,0.03576367103292227,300,3562.5,52.335520724524805,74.04761904761904,23.16362865935062
17,0,0.37671671232876713,0.4657286025397716,0.03901189021100443,300,3562.5,52.23477792857326,74.04761904761904,22.44180217533237
18,0,0.3757860273972603,0.4657286025397716,0.03994257514251126,300,3562.5,52.133791223299056,74.04761904761904,22.234983301664187
