year,site_id,A0_c0,A_c0,A0_n0,A_n0,BL_c0,BL_n0,total_C_rsp,avail_N
0,0,5.207744872057895,33.7026222667316,0.10532960897372391,2.600061018311561,3.0000690730907817,0.0,0.0,7.675437930903194e-05
1,0,5.196814181299368,33.70523901695285,0.10519201625616918,2.6001218529958083,3.000138151701593,0.0,0.0,7.675803330700558e-05
2,0,5.185903161516023,33.707850257963734,0.10505460327682965,2.600182504296641,3.000207235820667,0.0,0.0,7.676167850697034e-05
3,0,5.175011779967749,33.71045599705471,0.10491736980091218,2.6002429724576372,3.0002763254362534,0.0,0.0,7.67653149213971e-05
4,0,5.164140003966404,33.71305624150669,0.10478031559393033,2.6003032577220564,3.0003454205366173,0.0,0.0,7.676894256273763e-05
5,0,5.153287800875739,33.71565099859109,0.104643440421704,2.6003633603328393,3.000414521110039,0.0,0.0,7.677256144342481e-05
6,0,5.1424551381113135,33.718240275569805,0.10450674405035897,2.6004232805326084,3.0004836271448134,0.0,0.0,7.677617157587255e-05
7,0,5.131641983140419,33.72082407969525,0.10437022624632655,2.6004830185636685,3.0005527386292528,0.0,0.0,7.677977297247585e-05
8,0,5.1208483034819965,33.72340241821037,0.10423388677634318,2.6005425746680064,3.0006218555516835,0.0,0.0,7.67833656456108e-05
9,0,5.110074066706559,33.72597529834863,0.10409772540744996,2.600601949087292,3.000690977900448,0.0,0.0,7.678694960763469e-05
10,0,5.099319240436114,33.72854272733404,0.10396174190699237,2.600661142062879,3.000760105663904,0.0,0.0,7.679052487088593e-05
11,0,5.088583792344078,33.731104712381175,0.10382593604261975,2.600720153835804,3.0008292388304243,0.0,0.0,7.679409144768422e-05
12,0,5.0778676901552044,33.73366126069518,0.103690307582285,2.600778984646788,3.0008983773883977,0.0,0.0,7.679764935033048e-05
13,0,5.0671709016455,33.73621237947179,0.10355485629424412,2.600837634736238,3.0009675213262286,0.0,0.0,7.680119859110691e-05
14,0,5.05649339464215,33.73875807589732,0.10341958194705586,2.600896104344244,3.0010366706323355,0.0,0.0,7.680473918227707e-05
15,0,5.045835137023435,33.74129835714872,0.1032844843095813,2.6009543937105826,3.001105825295153,0.0,0.0,7.68082711360858e-05
16,0,5.035196096718656,33.74383323039355,0.10314956315098345,2.6010125030747155,3.0011749853031313,0.0,0.0,7.681179446475945e-05
17,0,5.024576241708054,33.74636270278997,0.10301481824072685,2.6010704326757916,3.001244150644735,0.0,0.0,7.681530918050568e-05
18,0,5.013975540022733,33.74888678148683,0.10288024934857722,2.6011281827526456,3.0013133213084453,0.0,0.0,7.68188152955136e-05
19,0,5.003393959744579,33.75140547362363,0.10274585624460102,2.6011857535438,3.0013824972827576,0.0,0.0,7.68223128219539e-05
20,0,4.992831469006185,33.7539187863305,0.10261163869916506,2.601243145287464,3.0014516785561827,0.0,0.0,7.682580177197874e-05
21,0,4.982288035990771,33.75642672672831,0.10247759648293615,2.6013003582215353,3.001520865117247,0.0,0.0,7.682928215772178e-05
22,0,4.971763628932107,33.75892930192858,0.10234372936688067,2.601357392583599,3.0015900569544915,0.0,0.0,7.683275399129836e-05
23,0,4.9612582161144365,33.76142651903355,0.10221003712226417,2.601414248610931,3.001659254056473,0.0,0.0,7.683621728480536e-05
24,0,4.950771765872395,33.76391838513618,0.10207651952065103,2.6014709265404936,3.0017284564117626,0.0,0.0,7.683967205032135e-05
25,0,4.940304246590938,33.76640490732016,0.101943176333904,2.6015274266089405,3.0017976640089477,0.0,0.0,7.684311829990656e-05
26,0,4.929855626705257,33.768886092659926,0.10181000733418387,2.601583749052615,3.00186687683663,0.0,0.0,7.684655604560297e-05
27,0,4.919425874700708,33.77136194822066,0.10167701229394906,2.6016398941075503,3.0019360948834266,0.0,0.0,7.68499852994343e-05
28,0,4.90901495911273,33.773832481058314,0.10154419098595521,2.601695862009471,3.0020053181379693,0.0,0.0,7.685340607340598e-05
29,0,4.89862284852677,33.776297698219615,0.10141154318325483,2.6017516529937916,3.0020745465889056,0.0,0.0,7.685681837950537e-05
30,0,4.888249511578209,33.77875760674208,0.10127906865919689,2.60180726729562,3.0021437802248974,0.0,0.0,7.686022222970157e-05
31,0,4.87789491695228,33.78121221365405,0.10114676718742643,2.6018627051497543,3.0022130190346217,0.0,0.0,7.68636176359456e-05
32,0,4.867559033383992,33.78366152597465,0.10101463854188418,2.6019179667906864,3.002282263006771,0.0,0.0,7.68670046101704e-05
33,0,4.857241829658057,33.78610555071385,0.10088268249680617,2.6019730524526,3.0023515121300526,0.0,0.0,7.687038316429081e-05
34,0,4.84694327460881,33.78854429487245,0.10075089882672333,2.6020279623693727,3.0024207663931883,0.0,0.0,7.68737533102037e-05
35,0,4.836663337120134,33.790977765442115,0.10061928730646118,2.602082696774575,3.002490025784915,0.0,0.0,7.687711505978791e-05
36,0,4.826401986125385,33.79340596940535,0.10048784771113932,2.6021372559014724,3.0025592902939846,0.0,0.0,7.688046842490429e-05
37,0,4.81615919060731,33.79582891373555,0.10035657981617115,2.602191639983023,3.0026285599091644,0.0,0.0,7.68838134173958e-05
38,0,4.8059349195979815,33.79824660539699,0.10022548339726343,2.6022458492518816,3.0026978346192363,0.0,0.0,7.688715004908748e-05
39,0,4.795729142178711,33.80065905134486,0.10009455823041595,2.6022998839403972,3.0027671144129964,0.0,0.0,7.689047833178648e-05
40,0,4.785541827479979,33.803066258525234,0.09996380409192106,2.602353744280615,3.0028363992792557,0.0,0.0,7.689379827728218e-05
41,0,4.775372944681359,33.80546823387512,0.09983322075836337,2.6024074305042753,3.0029056892068415,0.0,0.0,7.689710989734607e-05
42,0,4.7652224630114395,33.807864984322464,0.09970280800661936,2.6024609428428156,3.0029749841845943,0.0,0.0,7.69004132037319e-05
43,0,4.755090351747751,33.81025651678616,0.09957256561385694,2.6025142815273696,3.00304428420137,0.0,0.0,7.690370820817569e-05
44,0,4.744976580216688,33.812642838176046,0.09944249335753512,2.602567446788769,3.003113589246039,0.0,0.0,7.690699492239574e-05
45,0,4.734881117793437,33.81502395539294,0.09931259101540363,2.6026204388575427,3.0031828993074865,0.0,0.0,7.691027335809264e-05
46,0,4.724803933901898,33.81739987532864,0.0991828583655025,2.6026732579639167,3.0032522143746134,0.0,0.0,7.691354352694936e-05
47,0,4.714744998014613,33.81977060486594,0.09905329518616174,2.602725904337817,3.0033215344363335,0.0,0.0,7.691680544063124e-05
48,0,4.704704279652688,33.82213615087862,0.0989239012560009,2.602778378208867,3.003390859481577,0.0,0.0,7.692005911078602e-05
49,0,4.694681748385721,33.8244965202315,0.09879467635392873,2.6028306798063903,3.0034601894992874,0.0,0.0,7.692330454904391e-05
50,0,4.684677373831723,33.82685171978043,0.09866562025914281,2.6028828093594094,3.003529524478424,0.0,0.0,7.692654176701752e-05
51,0,4.6746911256570485,33.82920175637228,0.09853673275112913,2.602934767096647,3.00359886440796,0.0,0.0,7.692977077630209e-05
52,0,4.664722973576319,33.83154663684496,0.09840801360966175,2.602986553246526,3.003668209276883,0.0,0.0,7.693299158847526e-05
53,0,4.6547728873523475,33.83388636802749,0.09827946261480243,2.60303816803717,3.003737559074196,0.0,0.0,7.693620421509728e-05
54,0,4.644840836796064,33.836220956739936,0.0981510795469002,2.603089611696405,3.003806913788916,0.0,0.0,7.693940866771106e-05
55,0,4.634926791766445,33.838550409793456,0.09802286418659104,2.603140884451756,3.003876273410075,0.0,0.0,7.694260495784205e-05
56,0,4.625030722170438,33.8408747339903,0.09789481631479749,2.6031919865304523,3.003945637926719,0.0,0.0,7.694579309699838e-05
57,0,4.615152597962882,33.843193936123825,0.09776693571272828,2.6032429181594248,3.0040150073279084,0.0,0.0,7.694897309667086e-05
58,0,4.605292389146443,33.845508022978535,0.09763922216187794,2.603293679565307,3.0040843816027185,0.0,0.0,7.695214496833309e-05
